Gene	Family	hippocampus_timing
Amigo1	Amigo	Late
Amigo2	Amigo	
Amigo3	Amigo	
App	App	Late
Bai1	Bai	Late
Bai2	Bai	Late
Bai3	Bai	Early
Bsg	Bsg	
C1ql1	C1ql	
C1ql2	C1ql	
C1ql3	C1ql	
C1ql4	C1ql	
Cadm1	SynCAM	
Cadm2	SynCAM	Late
Cadm3	SynCAM	Late
Cadm4	SynCAM	Early
Car1	Carbonic	
Car2	Carbonic	Late
Car3	Carbonic	
Car4	Carbonic	Late
Cbln1	Cerebellin	
Cbln2	Cerebellin	Early
Cbln3	Cerebellin	
Cbln4	Cerebellin	
Cd14	Cd	
Cd164	Cd	Late
Cd200	Cd	Early
Cd200r1	Cd	
Cd200r2	Cd	
Cd200r3	Cd	
Cd300a	Cd	
Cd47	Cd	Late
Cd8a	Cd	
Cdh1	Cadherin	
Cdh2	Cadherin	Early
Cdh3	Cadherin	
Cdh4	Cadherin	Early
Cdh5	Cadherin	
Cdh6	Cadherin	Early
Cdh7	Cadherin	
Cdh8	Cadherin	Early
Cdh9	Cadherin	
Cdh10	Cadherin	Early
Cdh11	Cadherin	Early
Cdh12	Cadherin	Late
Cdh13	Cadherin	Early
Cdh15	Cadherin	
Cdh16	Cadherin	
Cdh17	Cadherin	
Cdh18	Cadherin	
Cdh19	Cadherin	
Cdh20	Cadherin	
Cdh22	Cadherin	
Cdh23	Cadherin	
Cdh24	Cadherin	
Cdh26	Cadherin	
Cdhr1	CdhRelated	
Cdhr2	CdhRelated	
Cdhr3	CdhRelated	
Cdhr5	CdhRelated	
Ceacam16	Ceacam	
Celsr1	Flamingo	
Celsr2	Flamingo	Late
Celsr3	Flamingo	Early
Chl1	Chl	Early
Clstn1	Calsyntenin	Late
Clstn2	Calsyntenin	
Clstn3	Calsyntenin	Late
Cntn1	Contactin	Late
Cntn2	Contactin	Early
Cntn3	Contactin	
Cntn4	Contactin	
Cntn5	Contactin	Early
Cntn6	Contactin	Early
Cntnap1	CntnRelated	Late
Cntnap2	CntnRelated	Early
Cntnap3	CntnRelated	Early
Cntnap4	CntnRelated	Early
Cntnap5a	CntnRelated	
Cntnap5b	CntnRelated	Early
Cntnap5c	CntnRelated	Late
Cntfr	Cntfr	Late
Csf1r	Csf1r	Late
Ctnna1	Catenin	
Ctnna2	Catenin	Early
Ctnna3	Catenin	
Ctnnal1	Catenin	
Ctnnb1	Catenin	Early
Ctnnd1	Catenin	Early
Ctnnd2	Catenin	
Cxadr	Cxadr	Early
Dag1	Dystroglycan	Early
Dscaml1	Dscam1l	
Elfn2	Elfn2	Late
Emb	Emb	Late
Efna1	Ephrin	
Efna2	Ephrin	
Efna3	Ephrin	
Efna4	Ephrin	
Efna5	Ephrin	Early
Efnb1	Ephrin	Early
Efnb2	Ephrin	Early
Efnb3	Ephrin	Early
Epha1	EphrinR	
Epha2	EphrinR	
Epha3	EphrinR	Early
Epha4	EphrinR	
Epha5	EphrinR	Early
Epha6	EphrinR	Late
Epha7	EphrinR	
Epha8	EphrinR	
Epha10	EphrinR	Late
Ephb1	EphrinR	
Ephb2	EphrinR	Early
Ephb3	EphrinR	Late
Ephb4	EphrinR	
Ephb6	EphrinR	
Fam19a1	Tafa	
Fam19a2	Tafa	Late
Fam19a3	Tafa	
Fam19a4	Tafa	
Fam19a5	Tafa	Late
Fat1	Fat	Early
Fat2	Fat	
Fat3	Fat	Early
Fat4	Fat	Early
Fcgr2b	Fcgr2b	
Fgfr1	Fgfr	
Fgfr2	Fgfr	
Fgfr3	Fgfr	
Fgfr4	Fgfr	
Flrt1	Flrt	Early
Flrt2	Flrt	Early
Flrt3	Flrt	
Flt1	Flt	
Flt3	Flt	Late
Fshr	Fshr	
Fstl4	Fstl	Late
Fstl5	Fstl	Early
Gp1ba	Gp	
Gp1bb	Gp	
Gp5	Gp	
Gp9	Gp	
Gpr116	Gpr	
Gpr124	Gpr	
Gpr125	Gpr	
Hepacam	Hepacam	Late
Hepacam2	Hepacam	
Icam1	Icam	
Icam2	Icam	
Icam4	Icam	
Igdcc4	Igdcc4	Early
Iglon5	Iglon5	Early
Igsf3	Igsf	Early
Igsf8	Igsf	Late
Igsf9	Igsf	
Igsf10	Igsf	
Igsf11	Igsf	Late
Il1r1	Il1r1	
Il1rap	ILRap	
Il1rapl1	ILRap	
Il1rapl2	ILRap	
Islr	Islr	
Islr2	Islr	Early
Jam2	Jam	
Jam3	Jam	Late
Kirrel	Kirrel	
Kirrel2	Kirrel	
Kirrel3	Kirrel	Late
Kit	Kit	
Lgr4	Lgr	
Lgr5	Lgr	
Lgr6	Lgr	
Lhcgr	Lhcgr	
Lilra5	Lilra5	
Lphn1	Latrophilin	
Lphn2	Latrophilin	
Lphn3	Latrophilin	Early
Lrfn1	Lrfn	Late
Lrfn2	Lrfn	
Lrfn3	Lrfn	
Lrfn4	Lrfn	Early
Lrfn5	Lrfn	Early
Lrig1	Lrig	
Lrig2	Lrig	Late
Lrig3	Lrig	
Lrrc3	Lrrc	Early
Lrrc3b	Lrrc	
