	Sex-specific	IEGs	retro-virus-induced	noise-sensitive
0	Ddx3y	Fos	B2m	Nrgn
1	Eif2s3y	Fosb	Bst2	Tmsb10
2	Uty	Fosl1	Oasl2	Basp1
3	Kdm5d	Fosl2	Ifit1	Rpl9-ps6
4	Xist	Jun	H2-D1	Gng3
5	Tsix	Junb	Stat1	Orc5
6		Jund	Ifi27l2a	Rpl22l1
7		Egr1	H2-K1	Nap1l5
8		Egr2	Rnf213	Calm2
9		Egr3	Rtp4	Ywhab
10		Egr4	Isg15	Ywhaz
11		Nr4a1	H2-Q6	Rpl41
12		Nr4a2	Ccl5	Tmsb4x
13		Nr4a3	Stat2	Gm2000
14		Arc	Psmb8	Pcp4
15		Homer1	H2-Q7	Ywhah
16		Rheb	Ifit3	Gap43
17		Rgs2	Gbp7	Sepw1
18		Plk2	Usp18	Rps6
19		Ptgs2	Gm4951	Tecpr2
20		Bdnf	Eif2ak2	Rps27rt
21		Inhba	Ddx58	Rpl32
22		Nptx2	Irf9	Gm9493
23		Plat	Ifi35	Sncb
24		Nrn1	H2-Q4	Eef1a1
25		Myc	Lgals3bp	Rpl17
26		Dusp1	Ifit3b	Rps19
27		Dusp5	Ube2l6	Heph
28		Dusp6	Irf7	Rpl14
29		Pcdh8	C1qa	Rpl26
30		Cyr61		Ctxn1
31		Gadd45b		Rps23
32		Trib1		Stmn1
33		Gem		6330403K07Rik
34		Btg2		Rps16
35		Ier2		Dynll1
36		Npas4		Ywhag
37		Rasd1		Mrfap1
38		Crem		Rpl19
39		Mbnl2		Vamp2
40		Arf4		Gm9843
41		Gadd45g		Gabarapl1
42		Arih1		Rps27a
43		Nup98		Ppia
44		Ppp1r15a		Marcksl1
45		Fbxo33		Calm1
46		Per1		Chchd10
47		Per2		Rps26-ps1
48		Maff		Chd3os
49		Zfp36		Atp6v1g2
50		Srf		Ddah1
51		Mcl1		Rpl6l
52		Ctgf		Rps25
53		Il6		1700016D06Rik
54		Atf3		Pnpla7
55		Rcan1		Ngfrap1
56		Ncoa7		Eif1
57		Cxcl2		Bex2
58		Bhlhe40		Fkbp1a
59		Slc2a3		Nlrc4
60		Nfkbia		Uqcrh
61		Ier3		Dpysl2
62		Sgk1		Nedd8
63		Klf6		Mt3
64		Klf10		Pnmal2
65		Nfkbiz		Mllt11
66		Flg		Gm11808
67		Gbp2b		Uqcr10
68		Tnfaip3		Gnb1
69		Cebpd		Mif
70		Hbegf		Rps3
71		Ldlr		Calm3
72		Tsc22d1		Cfl1
73		F3		2210013O21Rik
74		Ccl2		Ywhae
75		Csrnp1		Tuba1b
76		Pmaip1		Dynlrb1
77		Zfp36l2		Sub1
78		Plau		Cox8a
79		Ccl5		Gm10076
80		Saa3		Hint1
81		Ifnb1		Sumo2
82		Tnf		Jund
83		Irf1		Cycs
84		Cd83		Oaz1
