	top_level_mp	genes	n_genes	n_male	n_female	n_nonsexed
abnormal abdominal wall morphology	growth/size/body region phenotype	Calu,Grhl2,Irx1	3	3	2	0
abnormal adrenal gland morphology	endocrine/exocrine gland phenotype	2510009E07Rik,Acoxl,Bmerb1,Catsper3,Cfd,Ddx24,Dusp12,Fam32a,Gdap1,Gfm2,Gp2,Katnip,Lmod3,Mb21d2,Mief1,Naa10,Niban3,Olfr392,Pdik1l,Pdss1,Prrxl1,Slc17a8,Stk26,Tas2r102,Tmem237,Trabd,Trabd2b	27	9	24	0
abnormal allantois morphology	embryo phenotype	Alg10b,Alg6,Bmp4,Dbn1,Faf2,Folr1,Ift172,Ipo9,Krit1,Mtap,Nr6a1,Pigq,Slc25a3,Uggt1	14	13	12	0
abnormal anxiety-related response	behavior/neurological phenotype	Gsk3a,Ncam1	2	0	0	3
abnormal auditory brainstem response	hearing/vestibular/ear phenotype	Aak1,Ablim2,Acad11,Actl6b,Adamts15,Adgrv1,Adipor1,Afap1l2,Agap1,Ahrr,Ahsg,Akr1c12,Aldoc,Ankrd11,Ankrd24,Arg2,Arhgap21,Arhgap29,Arv1,Aspn,Atad2b,Atg4b,Atp2b1,Atp8b1,Avpi1,Baiap2l2,Bap1,Bicd1,Blvrb,Bod1,Brd2,Btbd8,Bzw1,C2cd2l,Cabp1,Cabp2,Camsap3,Casp14,Cbln3,Ccdc117,Ccdc166,Ccdc88c,Ccdc92,Ccn5,Cdc37l1,Cdca5,Cep250,Cep85l,Ces1f,Cib2,Cilk1,Ckb,Clec16a,Clec3a,Clpp,Clrn1,Clrn2,Col9a2,Col9a3,Csnk1g2,Csnk1g3,Cstb,Ctf2,Cuedc1,Cyp17a1,D6Wsu163e,Dbnl,Dctd,Ddi2,Defb43,Dennd6b,Depdc1a,Dlec1,Dnajb14,Dnajc14,Dnajc16,Dnajc17,Dnase1,Dnmbp,Dock9,Dok7,Dpp4,Duoxa2,Dyrk1b,Dzip1l,Ect2,Eef1d,Efcab7,Eif1b,Elmo3,Elmod1,Epn3,Erlec1,Espnl,Fads3,Fam120a,Fam166b,Fam172a,Fam207a,Fam53b,Fbxl15,Fbxl8,Fbxo24,Fbxo33,Fbxo41,Fer,Foxo3,Frmd3,Frs2,Fuca1,Gas2l2,Gata2,Gga1,Ghrhr,Gipc2,Gipc3,Gjb3,Gm12258,Gm5447,Golph3,Gp6,Gpr108,Gpr152,Gtf2h3,Hars2,Hcn1,Herc1,Hipk3,Hirip3,Hmx2,Hnf4g,Homer2,Hoxa2,Hsd17b4,Il10ra,Il1r2,Ipo4,Iqgap2,Kcne1,Kif13a,Kif5a,Klc2,Klhdc7b,Klk5,Krtcap2,Ldhal6b,Lsm1,Lsm14a,Mag,Marveld2,Maz,Mcidas,Med10,Med25,Med28,Mettl5,Mgrn1,Minar2,Mir96,Mkrn2,Mllt10,Mpdz,Mphosph8,Mreg,Myh1,Myo18b,Myo3a,Myo6,Nedd4l,Nek2,Nin,Nkpd1,Nlk,Nptn,Nr2f1,Nrp1,Odf3l2,Osbpl8,Otoa,Otog,Otogl,Oxsm,P4ha3,Pacsin2,Padi3,Pax5,Pcnx4,Pcp4l1,Pcyox1l,Pdxp,Phf3,Phf6,Pibf1,Pip4k2c,Pjvk,Plag1,Plcb4,Plin4,Plod3,Plscr5,Ppfia3,Ppox,Ppp1r14a,Ppp2r5e,Ppp6c,Prdm5,Prmt9,Prrc2c,Ptafr,Ptchd1,Rab10,Rab11fip3,Rab39b,Rab3gap1,Rap1gap2,Rasgrp3,Reg2,Relch,Rell1,Rest,Rffl,Rfxap,Rnf10,Rnf123,Rpain,Rrbp1,Rtn4,Satb1,Scamp2,Scmh1,Secisbp2l,Selenok,Serinc3,Serpinb9c,Setd5,Slc17a8,Slc20a2,Slc25a13,Slc4a10,Slc5a5,Slc7a11,Smarcc2,Snx29,Sox14,Spred1,Srd5a3,Stim2,Stk38,Stradb,Sun1,Syncrip,Tasor,Tent4a,Tesk2,Tmco6,Tmem104,Tmem108,Tmem145,Tmem30b,Tmem51,Tmprss2,Tmtc4,Tnfrsf11b,Tox,Tprn,Trappc11,Trim37,Trim39,Trim69,Triobp,Try10,U2af2,Ube2g1,Ube2w,Usp30,Usp39,Usp43,Usp53,Vti1a,Wdfy1,Wdr45,Wdr6,Ypel3,Zdhhc11,Zfp469,Zfp719,Zmym2	287	0	0	621
abnormal autopod morphology	limbs/digits/tail phenotype	Ajuba,C1qc,Cckbr,Dnase1l2,Fbn2,Hpf1,Il2rb,Mysm1,Pitx1,Rabl2,Slc36a2	11	13	8	0
abnormal basophil cell number	immune system phenotype,hematopoietic system phenotype	Rlim,Xlr3a	2	0	0	3
abnormal behavior	behavior/neurological phenotype	4932438A13Rik,Abat,Abcb11,Abcb4,Abi2,Acp2,Acvr2a,Adprm,Agbl4,Ago1,Akt2,Aldh2,Aldh3a2,Amfr,Ampd3,Ankrd13a,Antkmt,Ap4e1,Arhgef4,Arid4b,Arl4d,Arl8b,Arvcf,Asns,Aste1,Atg4d,Atp6v1d,B4gat1,Bbx,Bmp2k,Bmp6,Bok,Brd7,Brd8,Brms1l,Cacna1b,Cadm1,Cbarp,Ccdc28a,Cdan1,Cdip1,Cenpj,Cep350,Cep85l,Cep95,Cgas,Chd7,Cisd2,Cit,Cldn11,Cmpk2,Cnih2,Cnksr2,Cntfr,Cog2,Colca2,Comt,Cops4,Crlf3,Cyb561,Cyp17a1,Cystm1,Dagla,Dcaf10,Dctn5,Dennd2d,Dhcr24,Dhdds,Dhx40,Dlec1,Dlg2,Dlg4,Dlgap1,Dll1,Dnase2b,Dock10,Dpp9,Dscc1,Dusp3,Efna5,Efr3b,Ehmt1,Eif2b5,Elfn2,Elmod1,Emc8,Epc1,Epc2,Epdr1,Fam104a,Fam124b,Fam160a2,Fam168a,Fam83h,Fbxo11,Fcgr3,Fndc9,Foxe3,Foxn3,Frmd5,Fscn1,Ftl1,Fto,Gabra2,Gad2,Gar1,Gatm,Gbx1,Gde1,Ggnbp2,Gna11,Gnb4,Gpr156,Grb2,Gsto1,H6pd,Hdac4,Hirip3,Hmx3,Hnrnpd,Hook1,Hsd17b1,Hsf2bp,Hsf5,Hspb11,Hspb9,Ide,Idh3b,Ifi44,Ighmbp2,Irx1,Itgb5,Itm2c,Kat14,Katnal2,Kbtbd7,Kcne1,Kcnj6,Kcnt1,Kcnt2,Kdm4b,Kdm8,Kptn,L3mbtl3,Lamtor4,Lcp2,Leprotl1,Lgi4,Lhfp,Lnpep,Lrit3,Lrrc3,Lrrc30,Lsm1,Mamld1,Mapre3,Mapt,Mat2a,Mbd5,Mboat1,Mcf2l,Mecr,Mier1,Miga2,Mindy4,Mipol1,Mir96,Mlh1,Mmp11,Mms22l,Mpp6,Mpped2,Mrpl10,Mta1,Mvk,Myl4,Myo5a,Myo6,Myo7a,Mysm1,Naa10,Naa25,Nab2,Napb,Nav3,Ncald,Negr1,Nemp1,Neurod2,Nfkbid,Nfxl1,Nhlh2,Nptn,Nrros,Nrsn1,Nsd3,Nxpe5,Ociad2,Olfml2b,Orc4,Pacs2,Parl,Pde1a,Pdlim4,Pepd,Phf11c,Piezo2,Pipox,Pkn1,Pknox1,Plau,Plekhm2,Plin4,Poc5,Ppfibp2,Ppp5c,Prdm5,Prkcz,Prpf6,Prpsap2,Prss56,Ptms,Ptp4a3,Ptpn12,Pxylp1,Rab11fip4,Rab6b,Ranbp17,Rap2b,Rars2,Rasa1,Rasd1,Rasgrf1,Rep15,Retreg3,Rhbdl3,Rln3,Rnase10,Rnf10,Rnf214,S100b,Sart1,Scamp5,Scg5,Sec24b,Sema4d,Senp3,Setd6,Setmar,Sez6l,Sf3b3,Sgip1,Sgo1,Shank2,Shisal1,Sipa1l1,Sirt6,Slc26a10,Slc35c2,Slc35f6,Slc4a10,Slurp1,Smoc1,Smpdl3b,Smyd2,Smyd4,Smyd5,Sox14,Sox18,Spata3,Spn,Spns2,Spryd3,Sqstm1,Src,Strbp,Strn3,Stx16,Stxbp1,Suclg2,Supt4a,Surf4,Sympk,Syncrip,Taok3,Tas2r103,Tas2r116,Tbc1d30,Tceal1,Tcf7l1,Tctn3,Tg,Thyn1,Tmem203,Tmie,Tmod2,Tmprss6,Tpcn1,Tpcn2,Tppp,Trappc2l,Trmo,Trmt10a,Tspan13,Ube2b,Ube2j2,Ube3b,Unc80,Upf3a,Upf3b,Usp29,Usp42,Vat1l,Vwc2l,Wasf2,Wbp2,Wdr47,Wdr60,Wnk2,Xylt1,Ythdc2,Ywhab,Zbtb32,Zbtb43,Zfp13,Zfp281,Zfp462,Zfp512,Zfp60,Zhx3,Zmiz2,Zranb2,Zyg11b	333	186	255	146
abnormal blood urea nitrogen level	homeostasis/metabolism phenotype	Ube2j2,Xlr3a	2	0	1	1
abnormal blood uric acid level	homeostasis/metabolism phenotype	Pnma3,Unc5c	2	0	1	1
