MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919321	2010315B03Rik	RIKEN cDNA 2010315B03 gene	9		DNA-binding transcription factor activity			IBA	PTN002811104 	J:265628 	
MGI:1924053	2410141K09Rik	RIKEN cDNA 2410141K09 gene	13		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN002354498 	J:265628 	
MGI:1919378	2610008E11Rik	RIKEN cDNA 2610008E11 gene	10		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:1919378	2610008E11Rik	RIKEN cDNA 2610008E11 gene	10		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN001226166 	J:265628 	
MGI:1922662	2610021A01Rik	RIKEN cDNA 2610021A01 gene	7		DNA-binding transcription activator activity, RNA polymerase II-specific			IBA	PTN004700594 	J:265628 	
MGI:1919389	2610044O15Rik8	RIKEN cDNA 2610044O15 gene	8		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN004702374 	J:265628 	
MGI:1917194	2810021J22Rik	RIKEN cDNA 2810021J22 gene	11		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:1925270	4930522L14Rik	RIKEN cDNA 4930522L14 gene	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN007798770 	J:265628 	
MGI:1924450	5430403G16Rik	RIKEN cDNA 5430403G16 gene	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN007798770 	J:265628 	
MGI:1917882	5730507C01Rik	RIKEN cDNA 5730507C01 gene	12		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN004702374 	J:265628 	
MGI:1926171	9130019O22Rik	RIKEN cDNA 9130019O22 gene	7		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN007798770 	J:265628 	
MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	5		DNA-binding transcription factor activity, RNA polymerase II-specific			IBA	PTN004701291 	J:265628 	
MGI:3583896	A430033K04Rik	RIKEN cDNA A430033K04 gene	5		DNA-binding transcription repressor activity, RNA polymerase II-specific			IBA	PTN001226166 	J:265628 	
