Symbol	Gene name
0610009M14Rik	RIKEN cDNA 0610009M14 gene
1110001J12Rik	RIKEN cDNA 1110001J12 gene
1110005A23Rik	RIKEN cDNA 1110005A23 gene
1110011F09Rik	RIKEN cDNA 1110011F09 gene
1110020M19Rik	RIKEN cDNA 1110020M19 gene
1110033I14Rik	RIKEN cDNA 1110033I14 gene
1110035L05Rik	RIKEN cDNA 1110035L05 gene
1110054N06Rik	RIKEN cDNA 1110054N06 gene
1190004M21Rik	RIKEN cDNA 1190004M21 gene
1200006M05Rik	RIKEN cDNA 1200006M05 gene
1200013F24Rik	RIKEN cDNA 1200013F24 gene
1300003B13Rik	RIKEN cDNA 1300003B13 gene
1300004C11Rik	RIKEN cDNA 1300004C11 gene
1300019N10Rik	RIKEN cDNA 1300019N10 gene
1500031N24Rik	RIKEN cDNA 1500031N24 gene
1700001F22Rik	RIKEN cDNA 1700001F22 gene
1700003F12Rik	RIKEN cDNA 1700003F12 gene
1700012B18Rik	RIKEN cDNA 1700012B18 gene
1700012H05Rik	RIKEN cDNA 1700012H05 gene
1700012M14Rik	RIKEN cDNA 1700012M14 gene
1700013G10Rik	RIKEN cDNA 1700013G10 gene
1700014N06Rik	RIKEN cDNA 1700014N06 gene
1700020N01Rik	RIKEN cDNA 1700020N01 gene
1700030J15Rik	RIKEN cDNA 1700030J15 gene
1700065O13Rik	RIKEN cDNA 1700065O13 gene
1700086D15Rik	RIKEN cDNA 1700086D15 gene
1700090G07Rik	RIKEN cDNA 1700090G07 gene
1700123A16Rik	RIKEN cDNA 1700123A16 gene
1700123J19Rik	RIKEN cDNA 1700123J19 gene
1810007M14Rik	RIKEN cDNA 1810007M14 gene
1810037G04Rik	RIKEN cDNA 1810037G04 gene
1810060D16Rik	RIKEN cDNA 1810060D16 gene
2010005A06Rik	RIKEN cDNA 2010005A06 gene
2210008I11Rik	RIKEN cDNA 2210008I11 gene
2210021A15Rik	RIKEN cDNA 2210021A15 gene
2300002D11Rik	RIKEN cDNA 2300002D11 gene
2300009P13Rik	RIKEN cDNA 2300009P13 gene
2310020P08Rik	RIKEN cDNA 2310020P08 gene
2310042L19Rik	RIKEN cDNA 2310042L19 gene
2310043K02Rik	RIKEN cDNA 2310043K02 gene
2310058A11Rik	RIKEN cDNA 2310058A11 gene
2310058J06Rik	RIKEN cDNA 2310058J06 gene
2310076O14Rik	RIKEN cDNA 2310076O14 gene
2400009B11Rik	RIKEN cDNA 2400009B11 gene
2410004N05Rik	RIKEN cDNA 2410004N05 gene
2410018C20Rik	RIKEN cDNA 2410018C20 gene
2410141K09Rik	RIKEN cDNA 2410141K09 gene
2410141M05Rik	RIKEN cDNA 2410141M05 gene
2600014C22Rik	RIKEN cDNA 2600014C22 gene
2600017A12Rik	RIKEN cDNA 2600017A12 gene
2610016F04Rik	RIKEN cDNA 2610016F04 gene
2610028L19Rik	RIKEN cDNA 2610028L19 gene
2610303A01Rik	RIKEN cDNA 2610303A01 gene
2610524B01Rik	RIKEN cDNA 2610524B01 gene
2700043M03Rik	RIKEN cDNA 2700043M03 gene
2700067D09Rik	RIKEN cDNA 2700067D09 gene
2810021G02Rik	RIKEN cDNA 2810021G02 gene
2810021J22Rik	RIKEN cDNA 2810021J22 gene
2810405K07Rik	RIKEN cDNA 2810405K07 gene
2810405L04Rik	RIKEN cDNA 2810405L04 gene
2810407K09Rik	RIKEN cDNA 2810407K09 gene
2810438M17Rik	RIKEN cDNA 2810438M17 gene
2810455B10Rik	RIKEN cDNA 2810455B10 gene
2900054J07Rik	RIKEN cDNA 2900054J07 gene
3010019O03Rik	RIKEN cDNA 3010019O03 gene
3100002L24Rik	RIKEN cDNA 3100002L24 gene
3110004H13Rik	RIKEN cDNA 3110004H13 gene
3110024A21Rik	RIKEN cDNA 3110024A21 gene
3110031B13Rik	RIKEN cDNA 3110031B13 gene
3526402J09Rik	RIKEN cDNA 3526402J09 gene
3632413B07Rik	RIKEN cDNA 3632413B07 gene
3632451O06Rik	RIKEN cDNA 3632451O06 gene
4631416I11Rik	RIKEN cDNA 4631416I11 gene
4732429I09Rik	RIKEN cDNA 4732429I09 gene
4733401N12Rik	RIKEN cDNA 4733401N12 gene
4921504N20Rik	RIKEN cDNA 4921504N20 gene
4921509B22Rik	RIKEN cDNA 4921509B22 gene
4921509E05Rik	RIKEN cDNA 4921509E05 gene
4921515A04Rik	RIKEN cDNA 4921515A04 gene
4921520G13Rik	RIKEN cDNA 4921520G13 gene
4921524J06Rik	RIKEN cDNA 4921524J06 gene
4930430A15Rik	RIKEN cDNA 4930430A15 gene
4930522L14Rik	RIKEN cDNA 4930522L14 gene
4930532L20Rik	RIKEN cDNA 4930532L20 gene
4930539I12Rik	RIKEN cDNA 4930539I12 gene
4930548G07Rik	RIKEN cDNA 4930548G07 gene
4930564N15Rik	RIKEN cDNA 4930564N15 gene
4931423N10Rik	RIKEN cDNA 4931423N10 gene
4932409F11Rik	RIKEN cDNA 4932409F11 gene
4932422E22Rik	RIKEN cDNA 4932422E22 gene
4933409K03Rik	RIKEN cDNA 4933409K03 gene
4933416E05Rik	RIKEN cDNA 4933416E05 gene
4933417L02Rik	RIKEN cDNA 4933417L02 gene
4933426I21Rik	RIKEN cDNA 4933426I21 gene
4933429H19Rik	RIKEN cDNA 4933429H19 gene
4933430F08Rik	RIKEN cDNA 4933430F08 gene
5730403M16Rik	RIKEN cDNA 5730403M16 gene
5730410I19Rik	RIKEN cDNA 5730410I19 gene
5730461K03Rik	RIKEN cDNA 5730461K03 gene
5730467H21Rik	RIKEN cDNA 5730467H21 gene
5730521P14Rik	RIKEN cDNA 5730521P14 gene
5730589K01Rik	RIKEN cDNA 5730589K01 gene
5830403E09Rik	RIKEN cDNA 5830403E09 gene
5830417I10Rik	RIKEN cDNA 5830417I10 gene
5830435C13Rik	RIKEN cDNA 5830435C13 gene
6030408C04Rik	RIKEN cDNA 6030408C04 gene
6030424L22Rik	RIKEN cDNA 6030424L22 gene
6030426L16Rik	RIKEN cDNA 6030426L16 gene
6030449J21	hypothetical protein 6030449J21
6030490I01Rik	RIKEN cDNA 6030490I01 gene
6130401J04Rik	RIKEN cDNA 6130401J04 gene
6230410P16Rik	RIKEN cDNA 6230410P16 gene
6330416L07Rik	RIKEN cDNA 6330416L07 gene
6330581L23Rik	RIKEN cDNA 6330581L23 gene
6330583I20Rik	RIKEN cDNA 6330583I20 gene
6430502M16Rik	RIKEN cDNA 6430502M16 gene
6430585N13Rik	RIKEN cDNA 6430585N13 gene
6430596G11Rik	RIKEN cDNA 6430596G11 gene
6720456H20Rik	RIKEN cDNA 6720456H20 gene
6720457D02Rik	RIKEN cDNA 6720457D02 gene
6720480D16Rik	RIKEN cDNA 6720480D16 gene
6720489N17Rik	RIKEN cDNA 6720489N17 gene
6820402O20Rik	RIKEN cDNA 6820402O20 gene
8030445B08Rik	RIKEN cDNA 8030445B08 gene
9030612M13Rik	RIKEN cDNA 9030612M13 gene
9130012O13Rik	RIKEN cDNA 9130012O13 gene
9130019O22Rik	RIKEN cDNA 9130019O22 gene
9130211I03Rik	RIKEN cDNA 9130211I03 gene
9130417I07Rik	RIKEN cDNA 9130417I07 gene
9130423L19Rik	RIKEN cDNA 9130423L19 gene
9230102N17Rik	RIKEN cDNA 9230102N17 gene
9230110K08Rik	RIKEN cDNA 9230110K08 gene
9430034D17Rik	RIKEN cDNA 9430034D17 gene
9430065N20Rik	RIKEN cDNA 9430065N20 gene
9530049C15Rik	RIKEN cDNA 9530049C15 gene
9630006B20Rik	RIKEN cDNA 9630006B20 gene
9930016F01Rik	RIKEN cDNA 9930016F01 gene
A030003K21Rik	RIKEN cDNA A030003K21 gene
A230102I05Rik	RIKEN cDNA A230102I05 gene
A630035I11Rik	RIKEN cDNA A630035I11 gene
A630042L21Rik	RIKEN cDNA A630042L21 gene
A630089N07Rik	RIKEN cDNA A630089N07 gene
A730008L03Rik	RIKEN cDNA A730008L03 gene
A730012O14Rik	RIKEN cDNA A730012O14 gene
A730019I05Rik	RIKEN cDNA A730019I05 gene
A730032D07Rik	RIKEN cDNA A730032D07 gene
A730098D12Rik	RIKEN cDNA A730098D12 gene
A830014H24Rik	RIKEN cDNA A830014H24 gene
A830023I12Rik	RIKEN cDNA A830023I12 gene
A830025F02Rik	RIKEN cDNA A830025F02 gene
A930021G21Rik	RIKEN cDNA A930021G21 gene
AA408868	expreexpressed sequence AA408868
Aatf	apoptosis antagonizing transcription factor
Abt1	activator of basal transcription
Abtb1	ankyrin repeat and BTB (POZ) domain containing 1
Acyp2	"acylphosphatase 2, muscle type"
Adnp	activity-dependent neuroprotective protein
Aebp1	AE binding protein 1
Aebp2	AE binding protein 2
Aes	amino-terminal enhancer of split
AF013969	expressed sequence AF013969
Ahr	aryl-hydrocarbon receptor
